source,target,edge_class,relation,explicitness,evidence,strength,issue,repair
DOC,P0001,structural,contains,explicit,,,,
P0001,S0001,structural,contains,explicit,,,,
DOC,P0002,structural,contains,explicit,,,,
P0001,P0002,structural,sequence,explicit,,,,
P0002,S0002,structural,contains,explicit,,,,
P0002,S0003,structural,contains,explicit,,,,
S0002,S0003,structural,sequence,explicit,,,,
P0002,S0004,structural,contains,explicit,,,,
S0003,S0004,structural,sequence,explicit,,,,
P0002,S0005,structural,contains,explicit,,,,
S0004,S0005,structural,sequence,explicit,,,,
DOC,P0003,structural,contains,explicit,,,,
P0002,P0003,structural,sequence,explicit,,,,
P0003,S0006,structural,contains,explicit,,,,
DOC,P0004,structural,contains,explicit,,,,
P0003,P0004,structural,sequence,explicit,,,,
P0004,S0007,structural,contains,explicit,,,,
DOC,P0005,structural,contains,explicit,,,,
P0004,P0005,structural,sequence,explicit,,,,
P0005,S0008,structural,contains,explicit,,,,
DOC,SEC0001,structural,contains,explicit,,,,
SEC0001,P0006,structural,contains,explicit,,,,
P0006,S0009,structural,contains,explicit,,,,
SEC0001,P0007,structural,contains,explicit,,,,
P0006,P0007,structural,sequence,explicit,,,,
P0007,S0010,structural,contains,explicit,,,,
DOC,SEC0002,structural,contains,explicit,,,,
SEC0001,SEC0002,structural,sequence,explicit,,,,
SEC0002,P0008,structural,contains,explicit,,,,
P0008,S0011,structural,contains,explicit,,,,
SEC0002,P0009,structural,contains,explicit,,,,
P0008,P0009,structural,sequence,explicit,,,,
P0009,S0012,structural,contains,explicit,,,,
DOC,SEC0003,structural,contains,explicit,,,,
SEC0002,SEC0003,structural,sequence,explicit,,,,
SEC0003,P0010,structural,contains,explicit,,,,
P0010,S0013,structural,contains,explicit,,,,
SEC0003,P0011,structural,contains,explicit,,,,
P0010,P0011,structural,sequence,explicit,,,,
P0011,S0014,structural,contains,explicit,,,,
