physical_link_id,endpoint_a,endpoint_b,hulten,primitive_F,modes
B1_B2,B1,B2,0.059999999999999998,0.021427369258059419,road
B1_B9,B1,B9,0.050000000000000003,0.019103646673688496,road
B1_T1,B1,T1,0.016,0.0062174553368423407,road
B2_B3,B2,B3,0.070000000000000007,0.026062378575606282,road
B2_C1,B2,C1,0.089999999999999997,0.034049725003409109,road
B3_B4,B3,B4,0.080000000000000002,0.029821238068968983,road
B4_B5,B4,B5,0.070000000000000007,0.022325100230417273,road
B4_C2,B4,C2,0.089999999999999997,0.033946618496151548,road
B5_B6,B5,B6,0.050000000000000003,0.01492258270376573,road
B5_L4A,B5,L4A,0.02,0.0070740565096195623,road
B5_N1,B5,N1,0.089999999999999997,0.026667260514541852,road
B6_B7,B6,B7,0.059999999999999998,0.019982992256369549,road
B6_C2,B6,C2,0.080000000000000002,0.028536504059270301,road
B6_L3A,B6,L3A,0.02,0.0071205144342133637,road
B6_N2,B6,N2,0.056000000000000001,0.017719282372225059,road
B7_B8,B7,B8,0.070000000000000007,0.024416372797674224,road
B7_L2A,B7,L2A,0.02,0.0079598360580625874,road
B8_B9,B8,B9,0.059999999999999998,0.021660265063232122,road
B8_C1,B8,C1,0.080000000000000002,0.029924253221259467,road
B8_L1A,B8,L1A,0.02,0.0075238837651036439,road
C1_C2,C1,C2,0.12,0.049768527370041699,road
E1_H1,E1,H1,0.016,0.0074868476493888574,road
E2_H2,E2,H2,0.016,0.010278617341467802,road
H1_H2,H1,H2,0.050000000000000003,0.026109322005914891,road
H1_H5,H1,H5,0.043999999999999997,0.018890766505338927,road
H1_N1,H1,N1,0.089999999999999997,0.031296159224811423,road
H2_H3,H2,H3,0.050000000000000003,0.034080671912929072,road
H3_H4,H3,H4,0.050000000000000003,0.034153842816038935,road
H4_H5,H4,H5,0.050000000000000003,0.027674200991076869,road
H5_N2,H5,N2,0.056000000000000001,0.022168579836129666,road
L1A_L1B,L1A,L1B,0.016,0.0074771813941479229,road
L2A_L2B,L2A,L2B,0.016,0.0075868646882399082,road
L3A_L3B,L3A,L3B,0.016,0.0073756958012005198,road
L4A_L4B,L4A,L4B,0.016,0.007364007232775905,road
N1_N2,N1,N2,0.040000000000000001,0.012570679887103288,road
T1_T2,T1,T2,0.012,0.005509226041841825,road
