physical_link_id,hulten,primitive_F,traditional_rank,extended_rank,rank_change
C1_C2,0.12,0.049768527370041699,1,1,0
H3_H4,0.050000000000000003,0.034153842816038935,21,2,19
H2_H3,0.050000000000000003,0.034080671912929072,20,3,17
B2_C1,0.089999999999999997,0.034049725003409109,2,4,-2
B4_C2,0.089999999999999997,0.033946618496151548,3,5,-2
H1_N1,0.089999999999999997,0.031296159224811423,5,6,-1
B8_C1,0.080000000000000002,0.029924253221259467,8,7,1
B3_B4,0.080000000000000002,0.029821238068968983,6,8,-2
B6_C2,0.080000000000000002,0.028536504059270301,7,9,-2
H4_H5,0.050000000000000003,0.027674200991076869,22,10,12
B5_N1,0.089999999999999997,0.026667260514541852,4,11,-7
H1_H2,0.050000000000000003,0.026109322005914891,19,12,7
B2_B3,0.070000000000000007,0.026062378575606282,9,13,-4
B7_B8,0.070000000000000007,0.024416372797674224,11,14,-3
B4_B5,0.070000000000000007,0.022325100230417273,10,15,-5
H5_N2,0.056000000000000001,0.022168579836129666,16,16,0
B8_B9,0.059999999999999998,0.021660265063232122,14,17,-3
B1_B2,0.059999999999999998,0.021427369258059419,12,18,-6
B6_B7,0.059999999999999998,0.019982992256369549,13,19,-6
B1_B9,0.050000000000000003,0.019103646673688496,17,20,-3
H1_H5,0.043999999999999997,0.018890766505338927,23,21,2
B6_N2,0.056000000000000001,0.017719282372225059,15,22,-7
B5_B6,0.050000000000000003,0.01492258270376573,18,23,-5
N1_N2,0.040000000000000001,0.012570679887103288,24,24,0
E2_H2,0.016,0.010278617341467802,31,25,6
B7_L2A,0.02,0.0079598360580625874,27,26,1
L2A_L2B,0.016,0.0075868646882399082,33,27,6
B8_L1A,0.02,0.0075238837651036439,28,28,0
E1_H1,0.016,0.0074868476493888574,30,29,1
L1A_L1B,0.016,0.0074771813941479229,32,30,2
L3A_L3B,0.016,0.0073756958012005198,34,31,3
L4A_L4B,0.016,0.007364007232775905,35,32,3
B6_L3A,0.02,0.0071205144342133637,26,33,-7
B5_L4A,0.02,0.0070740565096195623,25,34,-9
B1_T1,0.016,0.0062174553368423407,29,35,-6
T1_T2,0.012,0.005509226041841825,36,36,0
