physical_link_id,hulten,primitive_F,traditional_rank,extended_rank,rank_change
H_r3_c3,0.02104,0.010177098220663561,1,1,0
H_r3_c2,0.020959999999999999,0.010069456592450659,2,2,0
H_r3_c4,0.019120000000000002,0.009481129959556342,3,3,0
H_r3_c1,0.018880000000000001,0.0092141025741375344,4,4,0
V_r3_c3,0.015640000000000001,0.0074333166651619773,5,5,0
V_r2_c3,0.01524,0.0073116300270968182,6,6,0
V_r4_c3,0.01444,0.0072942032834309375,7,7,0
V_r1_c3,0.01324,0.0068489203920868661,8,8,0
H_r5_c3,0.010840000000000001,0.0057895617124035723,9,9,0
H_r5_c2,0.01076,0.0057452329472156803,10,10,0
H_r4_c3,0.01044,0.0051691424911043723,11,11,0
H_r4_c2,0.010359999999999999,0.0051012809328672762,12,12,0
H_r1_c3,0.0092399999999999999,0.0050925252831507516,21,13,8
V_r3_c5,0.0097999999999999997,0.0050797903334571766,13,14,-1
H_r1_c2,0.0091599999999999997,0.0050626227440225364,22,15,7
H_r5_c4,0.0089200000000000008,0.0050336522824267153,25,16,9
H_r5_c1,0.0086800000000000002,0.0049554634258597947,26,17,9
V_r2_c5,0.0094000000000000004,0.0049179527812354754,19,18,1
V_r3_c1,0.0094800000000000006,0.0048762607405551297,18,19,-1
H_r2_c3,0.0096399999999999993,0.0048717656962002434,15,20,-5
V_r4_c5,0.0086,0.0048708085463168216,27,21,6
H_r2_c2,0.0095600000000000008,0.0048136946311679221,16,22,-6
V_r4_c1,0.0082799999999999992,0.0047434614392654617,32,23,9
V_r2_c1,0.0090799999999999995,0.0047317965617115201,24,24,0
V_r3_c4,0.0097199999999999995,0.0045795889285290808,14,25,-11
H_r4_c4,0.0085199999999999998,0.0044827516617880645,28,26,2
V_r4_c4,0.0085199999999999998,0.004465180927242832,29,27,2
V_r3_c2,0.0095600000000000008,0.0044509292655267717,17,28,-11
V_r2_c4,0.0093200000000000002,0.0044447328893357447,20,29,-9
V_r4_c2,0.0083599999999999994,0.0043572862176271447,30,30,0
H_r4_c1,0.0082799999999999992,0.0043319500820591349,31,31,0
V_r2_c2,0.0091599999999999997,0.0043254576644194435,23,32,-9
V_r1_c5,0.0074000000000000003,0.004279282685796389,35,33,2
H_r1_c4,0.0073200000000000001,0.0042511906388292952,36,34,2
H_r1_c1,0.0070800000000000004,0.004195413535980427,39,35,4
V_r1_c1,0.0070800000000000004,0.0041787221192144466,40,36,4
H_r2_c4,0.0077200000000000003,0.0041436067151493904,33,37,-4
H_r2_c1,0.0074799999999999997,0.0040135062817899898,34,38,-4
V_r1_c4,0.0073200000000000001,0.0039470825352510824,37,39,-2
V_r1_c2,0.0071599999999999997,0.0038586854986362093,38,40,-2
