physical_link_id,hulten,primitive_F,traditional_rank,extended_rank,rank_change
12_13,0.06840334805602695,0.042071968057965495,13,1,12
1_3,0.044963221282596312,0.037362599434027949,30,2,28
3_12,0.055452099365495076,0.031507514882717177,19,3,16
1_2,0.024996499152812615,0.023083704805565618,38,4,34
7_18,0.087766589194152422,0.019054037912510327,8,5,3
3_4,0.077750781855971673,0.016411268627177102,11,6,5
18_20,0.10529474348891336,0.016381597071233434,4,7,-3
16_18,0.08489110343113962,0.015317610253468762,10,8,2
4_5,0.099936028666842439,0.0071467046589331201,6,9,-3
9_10,0.12079354455855809,0.0044576887830228527,2,10,-8
15_19,0.10593459246762491,0.0042427727721895993,3,11,-8
10_15,0.12844725637676224,0.0038177178322934702,1,12,-11
10_11,0.097977949434809655,0.0034852657250947286,7,13,-6
2_6,0.033164434536700337,0.0029759931876900602,36,14,22
7_8,0.066950769260029921,0.0028066739760522134,14,15,-1
4_11,0.029118136439267885,0.0027976331618208275,37,16,21
15_22,0.10204217357325256,0.00261124135803291,5,17,-12
11_12,0.046506434491973905,0.0025030886026353055,29,18,11
20_21,0.034780942574345608,0.0022819171470651965,35,19,16
20_22,0.038824181919023849,0.0021858699147905424,33,20,13
16_17,0.064833170268921811,0.0021806078964887224,15,21,-6
10_17,0.044925124792013313,0.0021318726632357362,31,22,9
13_24,0.061657661372702947,0.0020308076553201726,16,23,-7
5_9,0.087569392833533641,0.0019961629561547328,9,24,-15
10_16,0.061342493623083631,0.0017516625754326726,17,25,-8
8_16,0.046576337959552648,0.0017367835495207553,27,26,1
21_22,0.047772955152070924,0.0017330466968408292,26,27,-1
22_23,0.053488725545893505,0.0016956020971355431,22,28,-6
14_23,0.046576087099758134,0.0016904227163101822,28,29,-1
8_9,0.0380459536548979,0.0016523640208067434,34,30,4
17_19,0.055171597975618006,0.0016226027553152707,20,31,-11
11_14,0.054326646133326162,0.0015923333737063914,21,32,-11
23_24,0.043718294982947534,0.0014793214313087708,32,33,-1
19_20,0.048250149642889109,0.001461071696924051,25,34,-9
14_15,0.050238919718843901,0.0013715037415698763,23,35,-12
6_8,0.069380210691695213,0.0011792160914608244,12,36,-24
21_24,0.057040863893915147,0.0011129125554980093,18,37,-19
5_6,0.048820760901056748,0.00079415757816705935,24,38,-14
