physical_link_id,link_name,hulten,primitive_F,traditional_rank,extended_rank,rank_change
westeros-0013,Ashemark--Casterly Rock,0.083333410164333224,0.014754409949541056,9,1,8
westeros-0088,Felwood--King's Landing,0.094063212347612626,0.013233346476058817,6,2,4
westeros-0188,Riverrun--Stone Hedge,0.092104021533883029,0.01285384759660791,7,3,4
westeros-0114,Hayford Castle--King's Landing,0.10390748807883703,0.012796995348145629,4,4,0
westeros-0103,Goldengrove--Highgarden,0.062883003436132595,0.012383324704060891,13,5,8
westeros-0189,Riverrun--Wayfarer's Rest,0.083860661056108718,0.012159788306884032,8,6,2
westeros-0043,Casterly Rock--Lannisport,0.047726812119636412,0.012054123816939669,20,7,13
westeros-0073,Darry--Maidenpool,0.14772509020174684,0.010378844658908953,1,8,-7
westeros-0061,Crakehall--Lannisport,0.044556401959744051,0.0099206809198475257,22,9,13
westeros-0124,Highgarden--Uplands,0.040188621823499596,0.0095109558218561159,24,10,14
westeros-0159,Lord Harroway's Town--Stone Hedge,0.098023319059824879,0.0094181051109348789,5,11,-6
westeros-0016,Ashemark--Wayfarer's Rest,0.075704018874808293,0.008790274613976766,10,12,-2
westeros-0068,Crossroads Inn--The Eyrie,0.028016557063315004,0.0085302970162357342,30,13,17
westeros-0116,Hayford Castle--Sow's Horn,0.10528384789357616,0.0084986830849581238,3,14,-11
westeros-0090,Felwood--Storm's End,0.035989509294300774,0.0084486856320836468,25,15,10
westeros-0201,Stoney Sept--Tumbleton,0.062588531766856276,0.0083937936311682775,14,16,-2
westeros-0161,Maidenpool--Sow's Horn,0.10548044386888601,0.0078571802200491543,2,17,-15
westeros-0030,Blackhaven--Fawnton,0.050352464518807705,0.0074962223784640035,17,18,-1
westeros-0177,Oldtown--Uplands,0.024059698400095548,0.007396567567570826,34,19,15
westeros-0097,Godsgrace--Sunspear,0.017656925517552807,0.0069219216348089963,45,20,25
westeros-0135,Hornwood--White Harbor,0.019442706829265115,0.0068425166593201938,40,21,19
westeros-0005,Acorn Hall--Harrenhal,0.072058506734916788,0.0068262824382784894,11,22,-11
westeros-0155,Last Hearth--Winterfell,0.019558633754650414,0.0067481245623435705,39,23,16
westeros-0026,Bitterbridge--Tumbleton,0.04865288713500706,0.0067380802769621169,19,24,-5
westeros-0082,Fawnton--Felwood,0.048733601274808955,0.006651324734841365,18,25,-7
westeros-0008,Acorn Hall--Stoney Sept,0.055902598814104497,0.0063564711753268752,16,26,-10
westeros-0190,Riverrun--Wendish Town,0.020729991663581346,0.0062352612185559431,36,27,9
westeros-0023,Bitterbridge--Goldengrove,0.045808884805286415,0.0061820814743326399,21,28,-7
westeros-0136,Hornwood--Winterfell,0.019599890439243622,0.006114224408889599,38,29,9
westeros-0001,Unnamed house--Cerwyn,0.031408903613170565,0.0057967731319699886,28,30,-2
westeros-0062,Crakehall--Old Oak,0.033424473447147246,0.0056059833858696229,27,31,-4
westeros-0207,The Tor--Yronwood,0.028523636879482096,0.0054778417078003459,29,32,-3
westeros-0098,Godsgrace--The Tor,0.024574359037411259,0.0053888257946013013,33,33,0
westeros-0105,Goldengrove--Old Oak,0.034117363268766611,0.0050417392718710716,26,34,-8
westeros-0213,Wyl--Yronwood,0.027214484613385458,0.0049915893014298475,31,35,-4
westeros-0122,Highgarden--Horn Hill,0.018495395541190406,0.0049843610773349523,42,36,6
westeros-0071,Darry--Harrenhal,0.063667716194681978,0.004941137341682153,12,37,-25
westeros-0065,Crossroads Inn--Lord Harroway's Town,0.042042308555083861,0.0047162890967922914,23,38,-15
westeros-0072,Darry--Lord Harroway's Town,0.058453684761789415,0.0045954194389317415,15,39,-24
westeros-0038,Bronzegate--Storm's End,0.011547595529732042,0.0045347907396414942,57,40,17
westeros-0033,Blackhaven--Wyl,0.026843292633740013,0.0044757915168844691,32,41,-9
westeros-0118,Haystack Hall--Storm's End,0.011308095881350171,0.0044578170363091894,58,42,16
westeros-0051,Cerwyn--Winterfell,0.014872633784277825,0.0042984895409207986,48,43,5
westeros-0040,Casterly Rock--Deep Den,0.014390711800546236,0.0039207316407318732,49,44,5
