edge_id,physical_link_id,origin,destination,mode,flow,origin_terminal_id,destination_terminal_id
B1_B2,B1_B2,B1,B2,road,0.030,,
B2_B1,B1_B2,B2,B1,road,0.030,,
B2_B3,B2_B3,B2,B3,road,0.035,,
B3_B2,B2_B3,B3,B2,road,0.035,,
B3_B4,B3_B4,B3,B4,road,0.040,,
B4_B3,B3_B4,B4,B3,road,0.040,,
B4_B5,B4_B5,B4,B5,road,0.035,,
B5_B4,B4_B5,B5,B4,road,0.035,,
B5_B6,B5_B6,B5,B6,road,0.025,,
B6_B5,B5_B6,B6,B5,road,0.025,,
B6_B7,B6_B7,B6,B7,road,0.030,,
B7_B6,B6_B7,B7,B6,road,0.030,,
B7_B8,B7_B8,B7,B8,road,0.035,,
B8_B7,B7_B8,B8,B7,road,0.035,,
B8_B9,B8_B9,B8,B9,road,0.030,,
B9_B8,B8_B9,B9,B8,road,0.030,,
B9_B1,B1_B9,B9,B1,road,0.025,,
B1_B9,B1_B9,B1,B9,road,0.025,,
B2_C1,B2_C1,B2,C1,road,0.045,,
C1_B2,B2_C1,C1,B2,road,0.045,,
B8_C1,B8_C1,B8,C1,road,0.040,,
C1_B8,B8_C1,C1,B8,road,0.040,,
C1_C2,C1_C2,C1,C2,road,0.060,,
C2_C1,C1_C2,C2,C1,road,0.060,,
B4_C2,B4_C2,B4,C2,road,0.045,,
C2_B4,B4_C2,C2,B4,road,0.045,,
B6_C2,B6_C2,B6,C2,road,0.040,,
C2_B6,B6_C2,C2,B6,road,0.040,,
B5_N1,B5_N1,B5,N1,road,0.045,,
N1_B5,B5_N1,N1,B5,road,0.045,,
N1_H1,H1_N1,N1,H1,road,0.045,,
H1_N1,H1_N1,H1,N1,road,0.045,,
B6_N2,B6_N2,B6,N2,road,0.028,,
N2_B6,B6_N2,N2,B6,road,0.028,,
N2_H5,H5_N2,N2,H5,road,0.028,,
H5_N2,H5_N2,H5,N2,road,0.028,,
N1_N2,N1_N2,N1,N2,road,0.020,,
N2_N1,N1_N2,N2,N1,road,0.020,,
H1_H2,H1_H2,H1,H2,road,0.025,,
H2_H1,H1_H2,H2,H1,road,0.025,,
H2_H3,H2_H3,H2,H3,road,0.025,,
H3_H2,H2_H3,H3,H2,road,0.025,,
H3_H4,H3_H4,H3,H4,road,0.025,,
H4_H3,H3_H4,H4,H3,road,0.025,,
H4_H5,H4_H5,H4,H5,road,0.025,,
H5_H4,H4_H5,H5,H4,road,0.025,,
H5_H1,H1_H5,H5,H1,road,0.022,,
H1_H5,H1_H5,H1,H5,road,0.022,,
H1_E1,E1_H1,H1,E1,road,0.008,,
E1_H1,E1_H1,E1,H1,road,0.008,,
H2_E2,E2_H2,H2,E2,road,0.008,,
E2_H2,E2_H2,E2,H2,road,0.008,,
B8_L1A,B8_L1A,B8,L1A,road,0.010,,
L1A_B8,B8_L1A,L1A,B8,road,0.010,,
L1A_L1B,L1A_L1B,L1A,L1B,road,0.008,,
L1B_L1A,L1A_L1B,L1B,L1A,road,0.008,,
B7_L2A,B7_L2A,B7,L2A,road,0.010,,
L2A_B7,B7_L2A,L2A,B7,road,0.010,,
L2A_L2B,L2A_L2B,L2A,L2B,road,0.008,,
L2B_L2A,L2A_L2B,L2B,L2A,road,0.008,,
B6_L3A,B6_L3A,B6,L3A,road,0.010,,
L3A_B6,B6_L3A,L3A,B6,road,0.010,,
L3A_L3B,L3A_L3B,L3A,L3B,road,0.008,,
L3B_L3A,L3A_L3B,L3B,L3A,road,0.008,,
B5_L4A,B5_L4A,B5,L4A,road,0.010,,
L4A_B5,B5_L4A,L4A,B5,road,0.010,,
L4A_L4B,L4A_L4B,L4A,L4B,road,0.008,,
L4B_L4A,L4A_L4B,L4B,L4A,road,0.008,,
B1_T1,B1_T1,B1,T1,road,0.008,,
T1_B1,B1_T1,T1,B1,road,0.008,,
T1_T2,T1_T2,T1,T2,road,0.006,,
T2_T1,T1_T2,T2,T1,road,0.006,,
