edge_id,physical_link_id,origin,destination,mode,flow,origin_terminal_id,destination_terminal_id
H_r1_c1_E,H_r1_c1,r1c1,r1c2,road,0.00354000,,
H_r1_c1_W,H_r1_c1,r1c2,r1c1,road,0.00354000,,
H_r1_c2_E,H_r1_c2,r1c2,r1c3,road,0.00458000,,
H_r1_c2_W,H_r1_c2,r1c3,r1c2,road,0.00458000,,
H_r1_c3_E,H_r1_c3,r1c3,r1c4,road,0.00462000,,
H_r1_c3_W,H_r1_c3,r1c4,r1c3,road,0.00462000,,
H_r1_c4_E,H_r1_c4,r1c4,r1c5,road,0.00366000,,
H_r1_c4_W,H_r1_c4,r1c5,r1c4,road,0.00366000,,
H_r2_c1_E,H_r2_c1,r2c1,r2c2,road,0.00374000,,
H_r2_c1_W,H_r2_c1,r2c2,r2c1,road,0.00374000,,
H_r2_c2_E,H_r2_c2,r2c2,r2c3,road,0.00478000,,
H_r2_c2_W,H_r2_c2,r2c3,r2c2,road,0.00478000,,
H_r2_c3_E,H_r2_c3,r2c3,r2c4,road,0.00482000,,
H_r2_c3_W,H_r2_c3,r2c4,r2c3,road,0.00482000,,
H_r2_c4_E,H_r2_c4,r2c4,r2c5,road,0.00386000,,
H_r2_c4_W,H_r2_c4,r2c5,r2c4,road,0.00386000,,
H_r3_c1_E,H_r3_c1,r3c1,r3c2,road,0.00944000,,
H_r3_c1_W,H_r3_c1,r3c2,r3c1,road,0.00944000,,
H_r3_c1_E,H_r3_c1,r3c1,r3c2,transit,0.01070000,station_r3c1,station_r3c2
H_r3_c1_W,H_r3_c1,r3c2,r3c1,transit,0.01070000,station_r3c2,station_r3c1
H_r3_c2_E,H_r3_c2,r3c2,r3c3,road,0.01048000,,
H_r3_c2_W,H_r3_c2,r3c3,r3c2,road,0.01048000,,
H_r3_c2_E,H_r3_c2,r3c2,r3c3,transit,0.01340000,station_r3c2,station_r3c3
H_r3_c2_W,H_r3_c2,r3c3,r3c2,transit,0.01340000,station_r3c3,station_r3c2
H_r3_c3_E,H_r3_c3,r3c3,r3c4,road,0.01052000,,
H_r3_c3_W,H_r3_c3,r3c4,r3c3,road,0.01052000,,
H_r3_c3_E,H_r3_c3,r3c3,r3c4,transit,0.01360000,station_r3c3,station_r3c4
H_r3_c3_W,H_r3_c3,r3c4,r3c3,transit,0.01360000,station_r3c4,station_r3c3
H_r3_c4_E,H_r3_c4,r3c4,r3c5,road,0.00956000,,
H_r3_c4_W,H_r3_c4,r3c5,r3c4,road,0.00956000,,
H_r3_c4_E,H_r3_c4,r3c4,r3c5,transit,0.01130000,station_r3c4,station_r3c5
H_r3_c4_W,H_r3_c4,r3c5,r3c4,transit,0.01130000,station_r3c5,station_r3c4
H_r4_c1_E,H_r4_c1,r4c1,r4c2,road,0.00414000,,
H_r4_c1_W,H_r4_c1,r4c2,r4c1,road,0.00414000,,
H_r4_c2_E,H_r4_c2,r4c2,r4c3,road,0.00518000,,
H_r4_c2_W,H_r4_c2,r4c3,r4c2,road,0.00518000,,
H_r4_c3_E,H_r4_c3,r4c3,r4c4,road,0.00522000,,
H_r4_c3_W,H_r4_c3,r4c4,r4c3,road,0.00522000,,
H_r4_c4_E,H_r4_c4,r4c4,r4c5,road,0.00426000,,
H_r4_c4_W,H_r4_c4,r4c5,r4c4,road,0.00426000,,
H_r5_c1_E,H_r5_c1,r5c1,r5c2,road,0.00434000,,
H_r5_c1_W,H_r5_c1,r5c2,r5c1,road,0.00434000,,
H_r5_c2_E,H_r5_c2,r5c2,r5c3,road,0.00538000,,
H_r5_c2_W,H_r5_c2,r5c3,r5c2,road,0.00538000,,
H_r5_c3_E,H_r5_c3,r5c3,r5c4,road,0.00542000,,
H_r5_c3_W,H_r5_c3,r5c4,r5c3,road,0.00542000,,
H_r5_c4_E,H_r5_c4,r5c4,r5c5,road,0.00446000,,
H_r5_c4_W,H_r5_c4,r5c5,r5c4,road,0.00446000,,
V_r1_c1_S,V_r1_c1,r1c1,r2c1,road,0.00354000,,
V_r1_c1_N,V_r1_c1,r2c1,r1c1,road,0.00354000,,
V_r1_c2_S,V_r1_c2,r1c2,r2c2,road,0.00358000,,
V_r1_c2_N,V_r1_c2,r2c2,r1c2,road,0.00358000,,
V_r1_c3_S,V_r1_c3,r1c3,r2c3,road,0.00662000,,
V_r1_c3_N,V_r1_c3,r2c3,r1c3,road,0.00662000,,
V_r1_c4_S,V_r1_c4,r1c4,r2c4,road,0.00366000,,
V_r1_c4_N,V_r1_c4,r2c4,r1c4,road,0.00366000,,
V_r1_c5_S,V_r1_c5,r1c5,r2c5,road,0.00370000,,
V_r1_c5_N,V_r1_c5,r2c5,r1c5,road,0.00370000,,
V_r2_c1_S,V_r2_c1,r2c1,r3c1,road,0.00454000,,
V_r2_c1_N,V_r2_c1,r3c1,r2c1,road,0.00454000,,
V_r2_c2_S,V_r2_c2,r2c2,r3c2,road,0.00458000,,
V_r2_c2_N,V_r2_c2,r3c2,r2c2,road,0.00458000,,
V_r2_c3_S,V_r2_c3,r2c3,r3c3,road,0.00762000,,
V_r2_c3_N,V_r2_c3,r3c3,r2c3,road,0.00762000,,
