node_id,labor,income,longitude,latitude
r1c1,1.000000,1.000000,1.0,5.0
r1c2,1.100000,1.140000,2.0,5.0
r1c3,1.550000,1.730000,3.0,5.0
r1c4,1.300000,1.420000,4.0,5.0
r1c5,1.400000,1.560000,5.0,5.0
r2c1,1.000000,1.000000,1.0,4.0
r2c2,1.100000,1.140000,2.0,4.0
r2c3,1.550000,1.730000,3.0,4.0
r2c4,1.300000,1.420000,4.0,4.0
r2c5,1.400000,1.560000,5.0,4.0
r3c1,2.000000,2.400000,1.0,3.0
r3c2,2.100000,2.540000,2.0,3.0
r3c3,4.200000,5.280000,3.0,3.0
r3c4,2.300000,2.820000,4.0,3.0
r3c5,2.400000,2.960000,5.0,3.0
r4c1,1.000000,1.000000,1.0,2.0
r4c2,1.100000,1.140000,2.0,2.0
r4c3,1.550000,1.730000,3.0,2.0
r4c4,1.300000,1.420000,4.0,2.0
r4c5,1.400000,1.560000,5.0,2.0
r5c1,1.000000,1.000000,1.0,1.0
r5c2,1.100000,1.140000,2.0,1.0
r5c3,1.550000,1.730000,3.0,1.0
r5c4,1.300000,1.420000,4.0,1.0
r5c5,1.400000,1.560000,5.0,1.0
