edge_id,physical_link_id,origin,destination,mode,flow,origin_terminal_id,destination_terminal_id
AB,AB,A,B,road,0.03166533522595979,,
AB,AB,A,B,transit,0.013570857953982768,A_station,B_station
BA,AB,B,A,road,0.016212177104039164,,
BA,AB,B,A,transit,0.008729633825251857,B_station,A_station
AC,AC,A,C,road,0.01658660416597894,,
AC,AC,A,C,transit,0.013570857953982766,A_station,C_station
CA,AC,C,A,road,0.019215879342138198,,
CA,AC,C,A,transit,0.012810586228092134,C_station,A_station
BC,BC,B,C,road,0.004275739016449889,,
BC,BC,B,C,transit,0.0064136085246748326,B_station,C_station
CB,BC,C,B,road,0.0026203471830188456,,
CB,BC,C,B,transit,0.0032026465570230336,C_station,B_station
BD,BD,B,D,road,0.03474037950865535,,
BD,BD,B,D,transit,0.011580126502885117,B_station,D_station
DB,BD,D,B,road,0.01767667844892102,,
DB,BD,D,B,transit,0.007575719335251868,D_station,B_station
CD,CD,C,D,road,0.009171215140565958,,
CD,CD,C,D,transit,0.017032256689622494,C_station,D_station
DC,CD,D,C,road,0.015151438670503732,,
DC,CD,D,C,transit,0.015151438670503732,D_station,C_station
