origin_node,destination_node,domestic_node,foreign_node,port_group,foreign_region,direction,raw_value_usd,raw_direction_share,balanced_direction_share,model_share
1,229,1,229,Oakland,Africa,domestic_to_foreign,125886170,0.00050749914570554313,0.00025676621541951601,0.000128383107709758
1,230,1,230,Oakland,Asia,domestic_to_foreign,11743897934,0.04734450312340182,0.040499483391218241,0.020249741695609121
1,231,1,231,Oakland,Australia and Oceania,domestic_to_foreign,820279095,0.0033068838296741892,0.0013880371237172393,0.00069401856185861966
1,232,1,232,Oakland,Europe,domestic_to_foreign,2671662509,0.010770575043557429,0.0073325421217206909,0.0036662710608603454
1,234,1,234,Oakland,South and Central America,domestic_to_foreign,407198160,0.0016415839669510087,0.00081781889640635387,0.00040890944820317694
6,229,6,229,Los Angeles / Long Beach / Port Hueneme,Africa,domestic_to_foreign,181252677,0.00073070440330611972,0.00062031420741377567,0.00031015710370688784
6,230,6,230,Los Angeles / Long Beach / Port Hueneme,Asia,domestic_to_foreign,49233187759,0.19847931451130099,0.28488042663646057,0.14244021331823029
6,231,6,231,Los Angeles / Long Beach / Port Hueneme,Australia and Oceania,domestic_to_foreign,5594134909,0.02255226834908915,0.015883266143567255,0.0079416330717836277
6,232,6,232,Los Angeles / Long Beach / Port Hueneme,Europe,domestic_to_foreign,2944541240,0.011870661914606987,0.013559948837616619,0.0067799744188083095
6,234,6,234,Los Angeles / Long Beach / Port Hueneme,South and Central America,domestic_to_foreign,2052164817,0.0082731239775939817,0.0069156182413071454,0.0034578091206535727
9,229,9,229,Everett / Seattle,Africa,domestic_to_foreign,102266223,0.00041227738366361104,0.00030769071129755341,0.00015384535564877671
9,230,9,230,Everett / Seattle,Asia,domestic_to_foreign,3635667607,0.014656877754099726,0.018494546905551645,0.0092472734527758223
9,231,9,231,Everett / Seattle,Australia and Oceania,domestic_to_foreign,327177299,0.0013189868254530823,0.00081666681953519813,0.00040833340976759907
9,232,9,232,Everett / Seattle,Europe,domestic_to_foreign,588816107,0.0023737609244936413,0.0023838282490162158,0.0011919141245081079
9,234,9,234,Everett / Seattle,South and Central America,domestic_to_foreign,454213474,0.0018311221162971827,0.0013456547769547383,0.00067282738847736917
